index,demand
1,69.43784078396187
2,45.268517760087406
3,15.768623320877762
4,0.0
5,285.54911232665904
6,97.92733495496189
7,0.0
8,49.74212175080308
9,76.49380918042186
10,126.08974423157886
11,68.34164013049971
12,0.0
13,48.180951317752665
14,123.87007227717802
15,100.16013057051691
16,0.0
17,445.0854142174109
19,0.0
20,457.2332516630305
21,59.181821905946975
22,61.38104669630205
23,16.46047824307589
24,0.0
25,37.32955787845646
26,21.81688550046824
27,52.9368082604713
33,44.07499664055158
34,0.0
35,0.0
36,0.0
37,65.01980087136685
38,122.34332900817597
39,0.0
40,35.20173544466722
41,64.73669311009488
42,0.0
43,29.75326014642969
44,160.52939909410964
45,0.0
46,0.0
47,47.130259668963895
48,33.421689266167036
49,74.25519678857216
51,-3.854623589297512
52,48.19982660773059
53,57.046395611640314
54,7.736085663747987
55,18.250103031538508
57,74.14695936706046
58,10.64557619301626
59,180.32828257546993
60,0.0
61,174.0577024867509
62,0.0
63,54.4891336169316
64,0.0
69,0.0
70,42.914629821599775
71,88.30167768417101
72,46.130025279013985
73,179.68874073099636
74,0.0
76,167.71357856239422
77,55.84420268301678
78,0.0
79,38.15319688772956
80,21.336827196856582
81,0.0
84,30.094157221956365
85,0.0
86,0.0
87,0.0
88,0.0
89,36.39746073333421
90,53.20216180371453
91,14.043639556838945
92,11.998036799918378
94,47.98213003258268
97,33.002774872980595
98,52.73502967262465
99,68.05104459217276
100,0.0
102,59.23832297299627
103,25.267006461844403
104,6.772769355097123
105,40.32382843466902
107,3.785732647167918
108,92.64089345281941
109,24.61899876947843
110,51.46737938383268
112,14.944105420448679
113,21.321707867290908
114,14.81423461885542
115,0.0
116,0.0
117,0.0
118,11.338678470478825
119,0.0
120,636.4045263970592
121,441.0577443568226
122,187.01785345864965
123,61.70156268477756
124,209.07720026126142
125,404.87937075715666
126,47.309828552344
127,300.64568066847505
128,0.0
129,0.0
130,0.0
131,0.0
132,0.0
133,0.0
134,0.0
135,130.17829537982442
136,44.882604761434976
137,227.22236267870548
138,841.6502859293504
139,452.8435679330597
140,310.72392761111973
141,109.58429278108123
142,44.24837546775121
143,68.14969783296581
144,0.0
145,18.278485210698538
146,0.0
147,0.0
148,51.56711974760778
149,0.0
150,0.0
151,0.0
152,12.907531415071114
153,0.0
154,53.02606453157572
155,155.5726710411918
156,58.77289949831411
157,100.17637005351219
158,0.0
159,26.596102168395593
160,0.0
161,27.17578899725683
162,64.22267739033275
163,0.0
164,0.0
165,0.0
166,0.0
167,248.23676746652407
168,0.0
169,0.0
170,368.61580447158343
171,611.2242483909051
172,21.36230637054097
173,128.0197744792252
174,0.0
175,145.57630390660367
176,3.791505550357993
177,23.012726498786066
178,330.74628760793087
179,56.22566593082954
180,53.530939900489244
181,58.81374669995137
182,193.60150579607915
183,31.286531449460085
184,107.73207316900684
185,0.0
186,47.0401124501073
187,46.86977140279606
188,147.3937540808054
189,5.671606771970723
190,0.0
191,373.23986087472684
192,643.1607950086322
193,0.0
194,0.0
195,0.0
196,7.926322536715803
197,34.281322624947315
198,50.3532277841405
199,28.409975705986938
200,20.849257509064664
201,33.95980228164544
202,30.485379281236394
203,32.422663301758064
204,54.152594938908
205,0.0
206,9.929191984362989
207,-17.023662687138284
208,5.328773339848247
209,30.11710664916126
210,0.0
211,78.61881674223277
212,0.0
213,0.0
214,17.883031572200025
215,35.98209743615267
216,134.65287513589476
217,79.91770488619682
218,104.8667567564251
219,0.0
220,234.8448457823928
221,135.25133191169041
222,265.06242953304604
223,353.8822124784046
224,132.43423341875325
225,331.22110556590695
226,0.0
227,430.9084313916998
228,172.09628223995168
229,79.27712768382422
230,0.0
231,122.81594070613292
232,363.8740144699263
233,333.99953939067217
234,473.206723429924
235,207.34977743004393
236,0.0
237,0.0
238,199.7653090453377
239,0.0
240,0.0
241,0.0
242,0.0
243,6.521035898714447
244,0.0
245,47.361024761565496
246,63.276903291749704
247,48.22789814981549
248,23.649093013238975
249,21.945026475528323
250,-17.718177476500895
281,-26.042441908672814
319,88.22356893491279
320,1.9434988602577064
322,1.8099496438147693
323,-12.318233493379354
324,19.215490946702918
526,120.4681775633839
528,22.72529405485148
531,11.553768669466821
552,-9.134215540186565
562,38.27587561858434
609,22.487587153330473
664,-92.24146454628729
1190,80.8548124328498
1200,-75.47826214952835
1201,0.0
2040,0.0
7001,0.0
7002,0.0
7003,0.0
7011,0.0
7012,0.0
7017,0.0
7023,0.0
7024,0.0
7039,0.0
7044,0.0
7049,0.0
7055,0.0
7057,0.0
7061,0.0
7062,0.0
7071,0.0
7130,0.0
7139,0.0
7166,0.0
9001,0.0
9002,3.2350019749976977
9003,2.066704448723181
9004,0.6633653265882632
9005,0.0
9006,0.0
9007,0.0
9012,0.0
9021,3.845721987137681
9022,1.2375305958584355
9023,0.0
9024,1.0557916317633902
9025,0.35976732619725466
9026,0.3721580933883998
9031,1.403324585437207
9032,1.1148212134727122
9033,1.4741275200267185
9034,1.2485176192225635
9035,1.2804235781599318
9036,2.4309441678705443
9037,1.4581583040468753
9038,1.9648889119438173
9041,0.8050578910511041
9042,0.6369120862934644
9043,1.3089284310186664
9044,0.0
9051,28.17616998762601
9052,23.5599788670271
9053,21.769713197448986
9054,0.0
9055,0.0
9071,0.7959048587227503
9072,0.7691818488429514
9121,3.047663335954073
9533,0.9650001817260541
